Latitude,Longitude,Sample Date,blue,green,red,nir,swir16,swir22,NDVI,NDMI,MNDWI,NDWI,NBR
-28.760833,17.730278,02-01-2011,8889.0,9603.0,9134.5,8194.0,7743.5,7703.0,-0.05427474968981705,0.02826666666666649,0.10719741734643816,0.07917064673821386,0.030886330754230164
-26.861111,28.884722,03-01-2011,8691.0,9550.0,9241.5,17658.5,13746.5,10574.0,0.31289962825278694,0.12456615188664187,-0.18013435494602117,-0.29801348843192277,0.25093420703090324
-26.45,28.085833,03-01-2011,9502.5,10720.0,12540.0,15210.0,17974.0,14201.0,0.09621621621621587,-0.08329315332690428,-0.2528054645570494,-0.17315850366370933,0.034306891979191345
-27.671111,27.236944,03-01-2011,8165.0,8250.0,8053.0,9244.0,8273.0,7882.0,0.06885587096028174,0.05543186618713219,-0.0013919990316528393,-0.056819480964901935,0.07952820273268668
-27.356667,27.286389,03-01-2011,13719.0,14628.0,14916.5,19240.0,18799.0,15277.0,0.12657912842357932,0.011593364704645202,-0.12477936997038284,-0.1361757411125542,0.11481299070023433
-27.01011111,26.69808333,04-01-2011,8555.0,9305.0,9014.5,13376.5,10536.5,8924.0,0.19481041489884243,0.11876385229791278,-0.06206688002419141,-0.17950752816171692,0.19965920046635638
-25.127778,27.628889,04-01-2011,8683.0,9521.5,9474.0,14491.5,14619.0,11486.5,0.20936345997371136,-0.004379862936053986,-0.2111596694351807,-0.20697122392037562,0.115674801755331
-25.20639,27.558,04-01-2011,8748.0,9334.5,9063.0,13336.5,9791.5,8555.5,0.19078550860510196,0.1532774126599786,-0.023894175467949266,-0.1765250760883941,0.21839027955417406
-24.69514,27.40906,04-01-2011,4384.0,4824.5,4604.5,6639.0,5486.5,4691.0,0.18094899275136583,0.09504762690198264,-0.0642032780525646,-0.15828499149474282,0.17193292144748304
-26.98472222,26.63227778,04-01-2011,9115.5,10109.5,10227.0,15619.0,14906.0,12737.5,0.20862028940648378,0.023357903357903283,-0.19174112050528597,-0.21413996152126938,0.1016169132297706
